개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지면적,소재지우편번호,도로명우편번호,사업장명,데이터갱신구분,권리주체일련번호,데이터갱신시점,도로명주소,상세업무구분명,상세영업상태명,상세영업상태코드,영업상태코드,전화번호,좌표정보(X),좌표정보(Y),지번주소,최종수정시점
3000000,300000004720180020,2018-12-13,,폐업,2020-08-19,,,,0,,03164,상자속고양이,I,000,2026-03-26 22:33:06,"서울특별시 종로구 삼일대로 ***-*, 세인빌딩 *층 (인사동)",,폐업,0002,03,,198811.965898086    ,452040.822179636    ,서울특별시 종로구 인사동 **-* 세인빌딩 ,2022-04-28 18:11:02
3000000,300000004720180018,2018-11-01,,폐업,2021-02-03,,,,0,,03078,금고양이카페,I,000,2026-03-26 22:33:06,"서울특별시 종로구 대명길 *, *층 (명륜*가)",,폐업,0002,03,,200013.660313627    ,453450.695152508    ,서울특별시 종로구 명륜*가 *-* ,2022-04-28 18:11:01
3000000,300000004720180015,2018-10-16,,폐업,2022-01-12,,,,0,,03053,집사의 하루 북촌점,I,000,2026-03-26 22:33:06,"서울특별시 종로구 북촌로*가길 **, *, *층 (화동)",,폐업,0002,03,027927984,198347.210186346    ,453115.086357308    ,서울특별시 종로구 화동 ** ,2022-04-28 18:11:01
3000000,300000004720240001,2024-08-23,,영업/정상,,,,,0,,03077,집사의하루 혜화점,I,000,2026-03-26 22:33:06,"서울특별시 종로구 창경궁로 ***-*, *층 (명륜*가)",,정상,0000,01,07048337985,199857.061677896    ,453424.659149132    ,서울특별시 종로구 명륜*가 ***-* ,2025-03-27 14:20:41
3000000,300000004720180007,2018-09-11,,영업/정상,,,,,0,,03086,미어켓파크,I,L00,2026-03-26 22:33:06,"서울특별시 종로구 대학로**길 **, *층 (동숭동)",,정상,0000,01,027627201,200178.724251664    ,453254.499540614    ,서울특별시 종로구 동숭동 *-*** ,2022-04-28 18:11:01
3000000,300000004720180017,2018-10-18,,취소/말소/만료/정지/중지,2023-06-14,,,,0,,03126,미션코리아,I,000,2026-03-26 22:33:06,"서울특별시 종로구 대학로 **, *층 (효제동)",,말소,0004,04,,200126.766304313    ,452265.173517838    ,서울특별시 종로구 효제동 ***-* ,2023-06-14 09:43:23
3010000,301000004720240002,2024-08-26,,영업/정상,,,,,0,,04537,고양이카페 루프캣미 명동점,I,L00,2026-03-26 22:33:07,"서울특별시 중구 명동*가길 **, *층 (충무로*가)",,정상,0000,01,,198737.553769773    ,451081.894647871    ,서울특별시 중구 충무로*가 **-* ,2024-08-26 17:05:50
3010000,301000004720200003,2020-08-12,,폐업,2021-08-30,,,,0,,04536,고양이 다락방,I,000,2026-03-26 22:33:07,"서울특별시 중구 명동*길 *-*, *층 (명동*가)",,폐업,0002,03,023183123,198539.24646227     ,451217.150102455    ,서울특별시 중구 명동*가 **-** ,2022-04-28 18:11:05
3010000,301000004720230002,2023-05-22,,폐업,2025-09-01,,,,0,,04536,스카이캣명동2호점,I,000,2026-03-26 22:33:07,"서울특별시 중구 명동*나길 *, *층 (충무로*가)",,폐업,0002,03,,198590.414302969    ,451038.262729925    ,서울특별시 중구 충무로*가 **-* ,2025-09-01 16:53:56
3010000,301000004720240001,2024-04-05,,영업/정상,,,,,0,,04537,고양이사랑채,I,000,2026-03-26 22:33:07,"서울특별시 중구 명동**길 **-*, *층 (명동*가)",,정상,0000,01,,198659.446197759    ,451198.789321829    ,서울특별시 중구 명동*가 *-* ,2024-04-05 08:14:55
3010000,301000004720200002,2020-08-12,,영업/정상,,,,,0,,04536,하늘을 걷는 고양이 카페,I,000,2026-03-26 22:33:07,"서울특별시 중구 명동*길 *, *층 (명동*가)",,정상,0000,01,023197647,198467.126665171    ,451240.860896184    ,서울특별시 중구 명동*가 **-* ,2022-07-15 09:54:06
3010000,301000004720230001,2023-01-17,,영업/정상,,,,,0,,04536,고양이 놀이터,I,000,2026-03-26 22:33:07,"서울특별시 중구 명동*길 **-**, *층 (충무로*가)",,정상,0000,01,0237892207,198648.436946782    ,451076.674084561    ,서울특별시 중구 충무로*가 **-* ,2023-01-17 15:36:58
3020000,302000004720220001,2022-07-22,,영업/정상,,,,,0,,04390,아이조아 캣파크 서울점,I,000,2026-01-13 18:16:32,"서울특별시 용산구 녹사평대로**길 **, *층 (이태원동)",,정상,0000,01,,199069.934522247    ,447914.896960472    ,서울특별시 용산구 이태원동 **-** *층 ,2025-07-03 08:11:29
3020000,302000004720180025,2018-09-14,,폐업,2020-11-23,,,,0,,04345,다독,I,000,2026-01-13 18:16:32,"서울특별시 용산구 녹사평대로**길 *, *층 (이태원동)",,폐업,0002,03,027499519,198791.952672996    ,448364.553023469    ,서울특별시 용산구 이태원동 *** *층 ,2022-04-28 18:11:00
3030000,303000004720210002,2021-01-26,,영업/정상,,,,,0,,04788,댕댕이루,I,L00,2026-01-13 18:59:04,서울특별시 성동구 상원길 ** (성수동*가),,정상,0000,01,024665787,204108.403825914    ,449864.570401349    ,서울특별시 성동구 성수동*가 ***-*** ,2022-04-28 18:10:57
3030000,303000004720240001,2024-07-02,,영업/정상,,,,,0,,04768,너즐,I,000,2026-01-13 18:59:04,"서울특별시 성동구 서울숲*길 **, 거암아트빌라 *층 (성수동*가)",,정상,0000,01,025676065,203735.354304094    ,449472.508622038    ,서울특별시 성동구 성수동*가 ***-** 거암아트빌라 ,2024-07-02 08:57:03
3030000,303000004720250001,2025-09-09,,영업/정상,,,,,0,,04794,길고양이마을 성수협력2호점,I,000,2026-01-13 18:59:04,"서울특별시 성동구 아차산로 **, 현진빌딩 *층 (성수동*가)",,정상,0000,01,,204744.808759887    ,449227.219539688    ,서울특별시 성동구 성수동*가 ***-** 현진빌딩 ,2025-09-09 16:54:41
3040000,304000004720230001,2023-10-18,,폐업,2025-06-30,,,,0,,05012,동물다방,I,000,2026-01-13 18:09:03,"서울특별시 광진구 능동로**길 **, 지하층 (화양동)",,폐업,0002,03,,206065.616749053    ,449158.252745395    ,서울특별시 광진구 화양동 **-** ,2025-06-30 13:35:56
3040000,304000004720180057,2018-09-12,,폐업,2025-06-17,,,,0,,05074,로얄에이알씨(주),I,L00,2026-01-13 18:09:03,"서울특별시 광진구 능동로 **, 영지빌딩 *층 ***호 (자양동)",,폐업,0002,03,024680955,205969.966011569    ,448175.917404606    ,서울특별시 광진구 자양동 ***-* 영지빌딩 ,2025-06-17 16:03:48
3040000,304000004720210011,2021-12-06,,폐업,2025-11-13,,,,0,,05073,냥이네 하우스,I,000,2026-01-13 18:09:03,"서울특별시 광진구 동일로**길 ***, *층 (자양동)",,폐업,0002,03,024650329,206094.706599251    ,448582.083585779    ,서울특별시 광진구 자양동 *-* *층 ,2025-11-17 11:14:53
3040000,304000004720180032,2018-08-01,,폐업,2020-02-13,,,,0,,04915,coffee pet#,I,000,2026-01-13 18:09:03,"서울특별시 광진구 능동로 ***, 성학빌딩 *층 (중곡동)",,폐업,0002,03,024657700,207114.406978584    ,450968.166497544    ,서울특별시 광진구 중곡동 ***-* 성학빌딩 ,2022-04-28 18:10:53
