센터명,시도,시군구,우편번호,주소1,주소2,위도,경도,대표전화번호,FAX번호,홈페이지
서울특별시청소년상담복지센터,서울특별시,중구,4543,서울특별시 중구 을지로11길 23 (수표동),", 7층",37.5674832,126.9905621,02-2285-1318,02-2285-1315,https://www.teen1318.or.kr/
서울종로구청소년상담복지센터,서울특별시,종로구,3076,서울특별시 종로구,명륜길 90 1층,37.5906267,126.9933744,02-762-1318,02-762-1319,http://www.jongno1318.or.kr/
서울용산구청소년상담복지센터,서울특별시,용산구,4316,서울특별시 용산구,백범로 329(원효로 1가) 꿈나무종합타운 4층,37.5386609,126.9655062,02-3273-5820,02-3273-5819,http://www.dodoit.or.kr/
서울성동구청소년상담복지센터,서울특별시,도봉구,4718,서울특별시 성동구,행당로6길 24-15,37.5531369,127.0283666,02-2299-1388,02-2296-1389,https://www.sdfac.or.kr/kor/tcwc/main.do
서울광진구청소년상담복지센터,서울특별시,광진구,5072,서울특별시 광진구,아차산로 24길 17 자양공공힐링센터 3층,37.5402911,127.0650733,02-2205-2300,02-2205-2662,https://www.gjus1318.or.kr/
서울동대문구청소년상담복지센터,서울특별시,동대문구,2586,서울특별시 동대문구,"천호대로2길 23-9, 신설동복지지원센터 2층",37.5738959,127.0246037,02-2236-1318,02-2237-1316,https://www.ddm1318.or.kr/
서울중랑구청소년상담복지센터,서울특별시,중랑구,2254,서울특별시 중랑구,용마산로 217 청소년수련관 3층,37.5732443,127.085825,02-490-0222,02-496-1894,http://www.jn1318.or.kr/
서울성북구청소년상담복지센터,서울특별시,성북구,2814,서울특별시 성북구,정릉로 242 성북아동청소년센터 4층,37.6047149,127.0107851,02-3292-1779,02-3292-1784,http://www.sb1318.or.kr/
서울성북구석관청소년상담복지센터,서울특별시,성북구,2784,서울특별시 성북구,돌곶이로 18길 3-9(석관동),37.6092868,127.0592304,02-963-1318,02-963-1319,http://www.sb1318.or.kr/
서울강북구청소년상담복지센터,서울특별시,강북구,1012,서울특별시 강북구,4.19로 74 강북청소년수련관 3층,37.6459079,127.0062577,02-6715-6660,02-6715-6668,http://www.gb1318.or.kr
서울도봉구청소년상담복지센터,서울특별시,도봉구,1412,서울특별시 도봉구,노해로 69길 132 문화체육센터 1층,37.6582713,127.0506149,02-6956-4508,02-6956-4512,http://www.db1318.or.kr/
서울노원구청소년상담복지센터,서울특별시,노원구,1616,서울특별시 노원구,수락산로212-19 2층,37.6714367,127.0548212,02-2091-1388,050-2209-1313,http://www.nowonyouthcenter.org/
