연계자원종류,총자원수,2016년발굴자원,2017년발굴자원,2018년발굴자원,2019년발굴자원,2020년발굴자원,2021년발굴자원,2022년발굴자원,2023년발굴자원
경제적 지원,3624,185,213,285,294,385,285,232,86
학업,13393,579,720,902,609,414,429,727,149
정신건강,2705,137,172,232,199,214,212,175,55
취업,1971,123,108,133,105,80,69,82,21
문화/복지,11527,942,791,626,547,647,561,590,153
상담,18096,1116,1183,1259,1132,1080,1047,862,265
교정,1634,73,64,84,131,98,83,71,21
의료지원,4863,260,208,170,142,250,234,205,60
보호,6184,424,297,292,268,279,238,243,60
법률지원,1064,56,77,58,50,58,61,58,14
기타,7280,379,485,524,406,314,448,332,87
